university_id,year,ranking_source,research_score,citation_score,research_impact,research_productivity
U0001,2025,QS,,,100.0,
U0002,2025,QS,,,93.9,
U0003,2025,QS,,,84.8,
U0004,2025,QS,,,100.0,
U0005,2025,QS,,,84.6,
U0006,2025,QS,,,99.0,
U0007,2025,QS,,,97.9,
U0008,2025,QS,,,93.1,
U0009,2025,QS,,,72.2,
U0010,2025,QS,,,100.0,
U0011,2025,QS,,,74.0,
U0012,2025,QS,,,98.2,
U0013,2025,QS,,,93.0,
U0014,2025,QS,,,97.7,
U0015,2025,QS,,,92.4,
U0016,2025,QS,,,97.5,
U0017,2025,QS,,,86.4,
U0018,2025,QS,,,93.7,
U0019,2025,QS,,,94.9,
U0020,2025,QS,,,99.1,
U0021,2025,QS,,,60.8,
U0022,2025,QS,,,100.0,
U0023,2025,QS,,,38.6,
U0024,2025,QS,,,87.6,
U0025,2025,QS,,,50.8,
U0026,2025,QS,,,93.6,
U0027,2025,QS,,,47.7,
U0028,2025,QS,,,75.9,
U0029,2025,QS,,,57.9,
U0030,2025,QS,,,84.6,
U0031,2025,QS,,,71.7,
U0032,2025,QS,,,84.2,
U0033,2025,QS,,,57.3,
U0034,2025,QS,,,31.7,
U0035,2025,QS,,,45.1,
U0036,2025,QS,,,92.9,
U0037,2025,QS,,,87.6,
U0038,2025,QS,,,57.7,
U0039,2025,QS,,,80.7,
U0040,2025,QS,,,53.6,
U0041,2025,QS,,,90.2,
U0042,2025,QS,,,74.0,
U0043,2025,QS,,,28.6,
U0044,2025,QS,,,47.6,
U0045,2025,QS,,,99.6,
U0046,2025,QS,,,86.1,
U0047,2025,QS,,,99.7,
U0048,2025,QS,,,99.5,
U0049,2025,QS,,,79.7,
U0050,2025,QS,,,39.3,
U0051,2025,QS,,,67.7,
U0052,2025,QS,,,69.4,
U0053,2025,QS,,,96.2,
U0054,2025,QS,,,75.9,
U0055,2025,QS,,,92.2,
U0056,2025,QS,,,44.1,
U0057,2025,QS,,,94.9,
U0058,2025,QS,,,98.9,
U0059,2025,QS,,,50.0,
U0060,2025,QS,,,29.1,
U0061,2025,QS,,,35.1,
U0062,2025,QS,,,100.0,
U0063,2025,QS,,,91.0,
U0064,2025,QS,,,72.3,
U0065,2025,QS,,,66.9,
U0066,2025,QS,,,76.7,
U0067,2025,QS,,,45.0,
U0068,2025,QS,,,44.3,
U0069,2025,QS,,,37.7,
U0070,2025,QS,,,77.5,
U0071,2025,QS,,,1.6,
U0072,2025,QS,,,67.0,
U0073,2025,QS,,,35.0,
U0074,2025,QS,,,86.1,
U0075,2025,QS,,,44.6,
U0076,2025,QS,,,78.8,
U0077,2025,QS,,,98.8,
U0078,2025,QS,,,32.5,
U0079,2025,QS,,,76.4,
U0080,2025,QS,,,40.5,
U0081,2025,QS,,,83.4,
U0082,2025,QS,,,87.0,
U0083,2025,QS,,,39.8,
U0084,2025,QS,,,32.7,
U0085,2025,QS,,,43.1,
U0086,2025,QS,,,54.9,
U0087,2025,QS,,,58.4,
U0088,2025,QS,,,97.7,
U0089,2025,QS,,,40.9,
U0090,2025,QS,,,55.4,
U0091,2025,QS,,,54.3,
U0092,2025,QS,,,28.5,
U0093,2025,QS,,,8.8,
U0094,2025,QS,,,4.1,
U0095,2025,QS,,,2.4,
U0096,2025,QS,,,61.3,
U0097,2025,QS,,,71.7,
U0098,2025,QS,,,96.9,
U0099,2025,QS,,,71.9,
U0100,2025,QS,,,23.1,
U0101,2025,QS,,,78.0,
U0102,2025,QS,,,68.4,
U0103,2025,QS,,,42.3,
U0104,2025,QS,,,49.2,
U0105,2025,QS,,,43.9,
U0106,2025,QS,,,79.5,
U0107,2025,QS,,,23.9,
U0108,2025,QS,,,37.6,
U0109,2025,QS,,,84.4,
U0110,2025,QS,,,40.1,
U0111,2025,QS,,,40.2,
U0112,2025,QS,,,41.3,
U0113,2025,QS,,,73.6,
U0114,2025,QS,,,52.8,
U0115,2025,QS,,,78.9,
U0116,2025,QS,,,23.7,
U0117,2025,QS,,,49.6,
U0118,2025,QS,,,79.1,
U0119,2025,QS,,,55.7,
U0120,2025,QS,,,62.8,
U0121,2025,QS,,,93.4,
U0122,2025,QS,,,48.2,
U0123,2025,QS,,,77.7,
U0124,2025,QS,,,41.3,
U0125,2025,QS,,,58.0,
U0126,2025,QS,,,27.0,
U0127,2025,QS,,,46.4,
U0128,2025,QS,,,64.5,
U0129,2025,QS,,,38.7,
U0130,2025,QS,,,52.5,
U0131,2025,QS,,,94.5,
U0132,2025,QS,,,45.3,
U0133,2025,QS,,,46.6,
U0134,2025,QS,,,79.6,
U0135,2025,QS,,,97.7,
U0136,2025,QS,,,79.3,
U0137,2025,QS,,,13.0,
U0138,2025,QS,,,14.1,
U0139,2025,QS,,,77.4,
U0140,2025,QS,,,11.2,
U0141,2025,QS,,,69.6,
U0142,2025,QS,,,54.5,
U0143,2025,QS,,,87.9,
U0144,2025,QS,,,63.8,
U0145,2025,QS,,,93.0,
U0146,2025,QS,,,19.6,
U0147,2025,QS,,,22.1,
U0148,2025,QS,,,25.7,
U0149,2025,QS,,,34.4,
U0150,2025,QS,,,77.4,
U0151,2025,QS,,,52.0,
U0152,2025,QS,,,50.3,
U0153,2025,QS,,,25.4,
U0154,2025,QS,,,64.3,
U0155,2025,QS,,,62.4,
U0156,2025,QS,,,47.2,
U0157,2025,QS,,,41.3,
U0158,2025,QS,,,63.3,
U0159,2025,QS,,,19.3,
U0160,2025,QS,,,41.2,
U0161,2025,QS,,,99.3,
U0162,2025,QS,,,28.5,
U0163,2025,QS,,,1.4,
U0164,2025,QS,,,7.9,
U0165,2025,QS,,,38.1,
U0166,2025,QS,,,36.6,
U0167,2025,QS,,,27.9,
U0168,2025,QS,,,94.6,
U0169,2025,QS,,,21.5,
U0170,2025,QS,,,42.5,
U0171,2025,QS,,,46.8,
U0172,2025,QS,,,65.7,
U0173,2025,QS,,,26.0,
U0174,2025,QS,,,84.7,
U0175,2025,QS,,,59.5,
U0176,2025,QS,,,35.6,
U0177,2025,QS,,,47.7,
U0178,2025,QS,,,97.8,
U0179,2025,QS,,,91.7,
U0180,2025,QS,,,5.9,
U0181,2025,QS,,,40.5,
U0182,2025,QS,,,3.8,
