university_id,year,ranking_source,total_students,students_per_staff,international_students,international_student_percentage
U0001,2024,THE,,,,
U0002,2024,THE,,11.8,,61.0
U0003,2024,THE,,10.9,,42.0
U0004,2024,THE,,9.0,,25.0
U0005,2024,THE,,11.5,,38.0
U0006,2024,THE,,6.4,,23.0
U0007,2024,THE,,,,
U0008,2024,THE,,,,
U0009,2024,THE,,11.3,,61.0
U0010,2024,THE,,,,
U0011,2024,THE,,6.2,,22.0
U0012,2024,THE,,,,
U0013,2024,THE,,,,
U0014,2024,THE,,10.9,,14.0
U0015,2024,THE,,,,
U0016,2024,THE,,10.0,,24.0
U0017,2024,THE,,,,
U0018,2024,THE,,23.1,,51.0
U0019,2024,THE,,,,
U0020,2024,THE,,11.2,,10.0
U0021,2024,THE,,,,
U0022,2024,THE,,7.3,,23.0
U0023,2024,THE,,5.2,,21.0
U0024,2024,THE,,,,
U0025,2024,THE,,25.8,,27.0
U0026,2024,THE,,,,
U0027,2024,THE,,,,
U0028,2024,THE,,44.4,,39.0
U0029,2024,THE,,11.9,,29.0
U0030,2024,THE,,,,
U0031,2024,THE,,16.1,,13.0
U0032,2024,THE,,4.1,,28.0
U0033,2024,THE,,10.3,,15.0
U0034,2024,THE,,5.2,,35.0
U0035,2024,THE,,,,
U0036,2024,THE,,,,
U0037,2024,THE,,43.1,,38.0
U0038,2024,THE,,19.4,,34.0
U0039,2024,THE,,12.6,,9.0
U0040,2024,THE,,,,
U0041,2024,THE,,39.1,,42.0
U0042,2024,THE,,,,
U0043,2024,THE,,,,
U0044,2024,THE,,8.1,,16.0
U0045,2024,THE,,12.6,,9.0
U0046,2024,THE,,6.8,,42.0
U0047,2024,THE,,19.9,,30.0
U0048,2024,THE,,12.0,,16.0
U0049,2024,THE,,15.9,,30.0
U0050,2024,THE,,9.0,,11.0
U0051,2024,THE,,13.1,,18.0
U0052,2024,THE,,,,
U0053,2024,THE,,,,
U0054,2024,THE,,14.8,,31.0
U0055,2024,THE,,13.2,,36.0
U0056,2024,THE,,,,
U0057,2024,THE,,30.6,,30.0
U0058,2024,THE,,11.9,,44.0
U0059,2024,THE,,,,
U0060,2024,THE,,,,
U0061,2024,THE,,3.9,,18.0
U0062,2024,THE,,13.2,,67.0
U0063,2024,THE,,37.3,,19.0
U0064,2024,THE,,14.5,,22.0
U0065,2024,THE,,,,
U0066,2024,THE,,16.4,,8.0
