University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Aalborg University,Denmark,306,35.7,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6,201–250,55.9–58.6,33.7,45.0,83.0,80.6,72.4,"17,275",14.9,12%,,306.0,201.0,57.25,U0001,DE,35.7,53.2,14.9,1:14.9,12%,19.9,50.61
Aalto University,Finland,113,57.9,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7,201–250,55.9–58.6,42.0,43.1,79.7,87.2,81.8,"14,427",20.4,23%,39 : 61,113.0,201.0,57.25,U0002,FI,57.9,73.6,20.4,1:20.4,23%,45.7,58.07
Aarhus University,Denmark,144,53.3,54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5,76.4,=109,65.9,44.9,59.0,86.3,98.7,76.3,"26,996",13.5,9%,56 : 44,144.0,109.0,65.9,U0003,DE,53.3,63.8,13.5,1:13.5,9%,54.7,62.1
Abai Kazakh National Pedagogical University,Kazakhstan,671-680,,26.5,22.8,53.8,1.1,37.8,3.7,4.1,12.6,1.7,,,,,,,,,,,,671.0,,,U0004,KA,,1.1,,,,26.5,13.72
Abdelmalek Essaâdi University,Morocco,,,,,,,,,,,,1501+,9.7–22.7,21.6,9.7,30.1,17.2,29.4,"122,962",91.8,1%,52 : 48,,1501.0,16.2,U0005,MO,16.2,30.1,91.8,1:91.8,1%,,14.71
Abdul Wali Khan University Mardan,Pakistan,,,,,,,,,,,,601–800,37.0–41.8,18.4,12.6,80.4,21.8,49.0,"11,681",22.8,0%,26 : 74,,601.0,39.4,U0006,PA,39.4,80.4,22.8,1:22.8,0%,,36.21
Aberystwyth University,United Kingdom,661-670,,9.4,5.9,18.5,20.3,44.6,46.5,65.9,7.1,44.9,501–600,41.9–45.3,26.3,23.0,68.5,62.4,87.3,"6,180",15.6,23%,51 : 49,661.0,501.0,43.599999999999994,U0007,UN,43.599999999999994,20.3,15.6,1:15.6,23%,9.4,32.71
Abo Akademi University,Finland,621-630,,7.5,4.8,18.9,43.2,45.9,22.6,64.5,8.3,6.4,,,,,,,,,,,,621.0,,,U0008,FI,,43.2,,,,7.5,26.48
Abu Dhabi University,United Arab Emirates,501,24.1,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,201–250,55.9–58.6,48.2,30.0,85.8,25.5,97.8,"2,506",10.9,60%,51 : 49,501.0,201.0,57.25,U0009,UN,24.1,16.7,10.9,1:10.9,60%,15.9,37.83
Acıbadem University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,25.8,12.0,22.7,24.2,30.3,"2,547",5.7,3%,73 : 27,,1501.0,16.2,U0010,TU,16.2,22.7,5.7,1:5.7,3%,,13.89
Acharya Nagarjuna University,India,,,,,,,,,,,,1201–1500,22.8–28.2,44.8,9.6,21.2,26.0,29.2,"5,771",7.3,7%,32 : 68,,1201.0,25.5,U0011,IN,25.5,21.2,7.3,1:7.3,7%,,11.91
"Adam Mickiewicz University, Pozna?",Poland,761-770,,16.0,9.1,33.3,4.8,7.7,8.3,86.7,7.5,31.6,1001–1200,28.3–32.6,19.7,28.4,43.5,29.6,37.8,"33,268",25.0,6%,68 : 32,761.0,1001.0,30.450000000000003,U0012,PO,30.450000000000003,4.8,25.0,1:25.0,6%,16.0,18.87
Addis Ababa University,Ethiopia,771-780,,6.4,9.3,58.8,1.7,,,55.2,95.5,3.3,,,,,,,,,,,,771.0,,,U0013,ET,,1.7,,,,6.4,13.9
Adelphi University,United States,,,,,,,,,,,,1501+,9.7–22.7,24.1,7.7,26.1,16.4,33.0,"6,582",11.1,7%,70 : 30,,1501.0,16.2,U0014,UN,16.2,26.1,11.1,1:11.1,7%,,13.32
Adolfo Ibáñez University,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,14.8,17.4,39.2,17.1,64.1,"10,606",25.0,5%,38 : 62,,1201.0,25.5,U0015,CH,25.5,39.2,25.0,1:25.0,5%,,29.89
Afe Babalola University,Nigeria,,,,,,,,,,,,1501+,9.7–22.7,23.4,11.6,17.2,24.6,43.6,"9,660",10.7,1%,57 : 43,,1501.0,16.2,U0016,NI,16.2,17.2,10.7,1:10.7,1%,,15.23
AGH University of Krakow,Poland,,,,,,,,,,,,1001–1200,28.3–32.6,25.8,20.9,38.6,68.5,29.9,"19,189",12.2,3%,35 : 65,,1001.0,30.450000000000003,U0017,PO,30.450000000000003,38.6,12.2,1:12.2,3%,,23.27
AGH University of Science and Technology,Poland,851-900,,9.6,13.9,41.5,6.5,2.9,5.3,75.6,3.2,1.7,,,,,,,,,,,,851.0,,,U0018,PO,,6.5,,,,9.6,15.36
Ahlia University,Bahrain,711-720,,16.7,8.4,31.7,3.8,100.0,42.7,9.3,12.7,2.5,,,,,,,,,,,,711.0,,,U0019,BA,,3.8,,,,16.7,14.54
Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,,,,,,,,,,,,801–1000,32.7–36.9,38.1,10.7,58.1,20.1,21.8,"8,987",11.7,3%,67 : 33,,801.0,34.8,U0020,IR,34.8,58.1,11.7,1:11.7,3%,,21.88
Aichi Medical University,Japan,,,,,,,,,,,,1001–1200,28.3–32.6,30.5,13.5,43.1,39.5,21.5,"1,315",2.9,1%,58 : 42,,1001.0,30.450000000000003,U0021,JA,30.450000000000003,43.1,2.9,1:2.9,1%,,18.73
Ain Shams University ,Egypt,592,21.0,24.0,32.2,11.3,1.9,23.1,7.5,74.2,56.3,9.8,1001–1200,28.3–32.6,27.9,15.3,45.8,48.0,51.8,"152,995",13.3,6%,52 : 48,592.0,1001.0,30.450000000000003,U0022,EG,21.0,1.9,13.3,1:13.3,6%,24.0,14.51
Air University,Pakistan,,,,,,,,,,,,601–800,37.0–41.8,24.2,12.5,81.5,39.5,48.7,"7,806",12.8,0%,34 : 66,,601.0,39.4,U0023,PA,39.4,81.5,12.8,1:12.8,0%,,36.42
Airlangga University,Indonesia,308,35.3,37.1,79.1,57.0,1.5,58.0,6.7,40.3,18.9,16.3,,,,,,,,,,,,308.0,,,U0024,IN,35.3,1.5,,,,37.1,13.84
Aix-Marseille University,France,481,25.0,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5,351–400,49.1–51.0,43.0,27.2,71.9,63.2,76.3,"72,946",17.3,14%,60 : 40,481.0,351.0,50.05,U0025,FR,25.0,21.7,17.3,1:17.3,14%,36.9,32.68
Ajman University,United Arab Emirates,477,25.1,17.3,42.2,9.6,3.2,100.0,100.0,48.4,9.8,1.4,,,,,,,,,,,,477.0,,,U0026,UN,25.1,3.2,,,,17.3,14.36
Ajou University ,South Korea,631-640,,13.7,15.0,68.9,17.9,9.3,24.2,18.8,4.2,23.7,501–600,41.9–45.3,35.6,37.7,52.8,92.3,48.0,"7,714",14.9,17%,41 : 59,631.0,501.0,43.599999999999994,U0027,SO,43.599999999999994,17.9,14.9,1:14.9,17%,13.7,30.18
Akdeniz Üniversitesi,Turkey,1401+,,5.7,4.8,3.5,3.0,1.2,1.1,33.7,2.0,1.0,,,,,,,,,,,,1401.0,,,U0028,TU,,3.0,,,,5.7,14.3
Akdeniz University,Turkey,,,,,,,,,,,,1001–1200,28.3–32.6,22.7,27.3,42.6,54.7,25.2,"46,464",47.3,4%,45 : 55,,1001.0,30.450000000000003,U0029,TU,30.450000000000003,42.6,47.3,1:47.3,4%,,26.7
Akita University,Japan,,,,,,,,,,,,1501+,9.7–22.7,25.6,13.4,20.8,39.1,26.7,"5,002",10.7,4%,35 : 65,,1501.0,16.2,U0030,JA,16.2,20.8,10.7,1:10.7,4%,,13.18
Aksaray University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,11.6,8.8,23.5,26.8,28.0,"19,511",22.2,8%,49 : 51,,1501.0,16.2,U0031,TU,16.2,23.5,22.2,1:22.2,8%,,11.9
Al-Ahliyya Amman University,Jordan,801-850,,9.6,10.1,9.4,2.7,75.5,100.0,16.9,4.6,1.5,,,,,,,,,,,,801.0,,,U0032,JO,,2.7,,,,9.6,14.21
Al Ain University,United Arab Emirates,552,22.5,22.6,15.7,13.4,5.9,100.0,100.0,27.5,5.9,5.2,,,,,,,,,,,,552.0,,,U0033,UN,22.5,5.9,,,,22.6,15.18
Al-Azhar University,Egypt,1001-1200,,13.1,10.3,11.0,1.4,1.4,9.5,58.3,22.6,1.1,801–1000,32.7–36.9,19.2,10.9,69.2,20.4,57.4,"269,733",22.0,9%,42 : 58,1001.0,801.0,34.8,U0034,EG,34.8,1.4,22.0,1:22.0,9%,13.1,13.41
Al-Balqa Applied University,Jordan,1201-1400,,5.8,6.6,4.8,2.7,7.6,2.5,32.9,3.9,6.7,1001–1200,28.3–32.6,12.0,13.6,59.2,22.5,39.3,"27,973",27.3,2%,59 : 41,1201.0,1001.0,30.450000000000003,U0035,JO,30.450000000000003,2.7,27.3,1:27.3,2%,5.8,10.84
Al-Farabi Kazakh National University,Kazakhstan,163,51.0,54.2,79.6,99.3,1.4,49.0,54.2,64.7,59.6,29.8,1201–1500,22.8–28.2,24.8,11.1,27.1,25.3,72.5,"24,303",5.9,10%,59 : 41,163.0,1201.0,25.5,U0036,KA,51.0,1.4,5.9,1:5.9,10%,54.2,17.17
Al-Nahrain University,Iraq,,,,,,,,,,,,1201–1500,22.8–28.2,27.9,8.7,34.1,16.6,25.4,"6,714",5.9,0%,55 : 45,,1201.0,25.5,U0037,IR,25.5,34.1,5.9,1:5.9,0%,,14.43
Al-Quds University,Palestine,851-900,,5.8,14.6,12.7,1.7,61.5,66.8,30.6,23.5,3.0,,,,,,,,,,,,851.0,,,U0038,PA,,1.7,,,,5.8,13.9
Alagappa University,India,,,,,,,,,,,,601–800,37.0–41.8,34.8,12.8,64.8,23.2,44.4,"5,020",15.8,0%,62 : 38,,601.0,39.4,U0039,IN,39.4,64.8,15.8,1:15.8,0%,,30.48
Albert-Ludwigs-Universitaet Freiburg,Germany,212,44.8,43.1,24.5,24.6,52.2,67.6,33.7,92.3,32.5,90.0,,,,,,,,,,,,212.0,,,U0040,GE,44.8,52.2,,,,43.1,29.21
Alexandria University ,Egypt,801-850,,23.1,18.3,4.5,2.0,1.7,4.8,76.4,24.3,6.9,801–1000,32.7–36.9,17.9,17.7,58.2,27.2,51.4,"205,777",28.7,4%,52 : 48,801.0,801.0,34.8,U0041,EG,34.8,2.0,28.7,1:28.7,4%,23.1,15.71
Alexandru Ioan Cuza University,Romania,1201-1400,,7.5,11.9,5.5,3.0,3.5,9.6,40.2,14.3,3.2,1501+,9.7–22.7,16.5,12.1,31.6,18.3,40.2,"25,443",22.3,8%,56 : 44,1201.0,1501.0,16.2,U0042,RO,16.2,3.0,22.3,1:22.3,8%,7.5,10.37
