University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
Aalborg University,DK,306,35.7,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6,201–250,55.9–58.6,33.7,45.0,83.0,80.6,72.4,"17,275",14.9,12%,
Aalto University,FI,113,57.9,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7,201–250,55.9–58.6,42.0,43.1,79.7,87.2,81.8,"14,427",20.4,23%,39 : 61
Aarhus University,DK,144,53.3,54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5,76.4,=109,65.9,44.9,59.0,86.3,98.7,76.3,"26,996",13.5,9%,56 : 44
Abai Kazakh National Pedagogical University,KZ,671-680,-,26.5,22.8,53.8,1.1,37.8,3.7,4.1,12.6,1.7,,,,,,,,,,,
Abdelmalek Essaâdi University,Morocco,,,,,,,,,,,,1501+,9.7–22.7,21.6,9.7,30.1,17.2,29.4,"122,962",91.8,1%,52 : 48
Abdul Wali Khan University Mardan,Pakistan,,,,,,,,,,,,601–800,37.0–41.8,18.4,12.6,80.4,21.8,49.0,"11,681",22.8,0%,26 : 74
Aberystwyth University,UK,661-670,-,9.4,5.9,18.5,20.3,44.6,46.5,65.9,7.1,44.9,501–600,41.9–45.3,26.3,23.0,68.5,62.4,87.3,"6,180",15.6,23%,51 : 49
Abo Akademi University,FI,621-630,-,7.5,4.8,18.9,43.2,45.9,22.6,64.5,8.3,6.4,,,,,,,,,,,
Abu Dhabi University,AE,501,24.1,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,201–250,55.9–58.6,48.2,30.0,85.8,25.5,97.8,"2,506",10.9,60%,51 : 49
Acıbadem University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,25.8,12.0,22.7,24.2,30.3,"2,547",5.7,3%,73 : 27
Acharya Nagarjuna University,India,,,,,,,,,,,,1201–1500,22.8–28.2,44.8,9.6,21.2,26.0,29.2,"5,771",7.3,7%,32 : 68
