university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0002,imperial college london,United Kingdom,https://openalex.org/I47508984,Imperial College London,GB,United Kingdom,https://ror.org/041kmwe10,393820.0,23056.0,23758.0,22698.0
U0003,university of oxford,United Kingdom,https://openalex.org/I40120149,University of Oxford,GB,United Kingdom,https://ror.org/052gg0110,601867.0,45273.0,32787.0,34812.0
U0004,harvard university,United States,https://openalex.org/I136199984,Harvard University,US,United States,https://ror.org/03vek6s52,713785.0,35925.0,33782.0,33883.0
U0005,university of cambridge,United Kingdom,https://openalex.org/I241749,University of Cambridge,GB,United Kingdom,https://ror.org/013meh722,469139.0,22302.0,23073.0,23931.0
U0006,stanford university,United States,https://openalex.org/I97018004,Stanford University,US,United States,https://ror.org/00f54p054,538422.0,25371.0,26081.0,26686.0
U0009,ucl,United Kingdom,https://openalex.org/I45129253,University College London,GB,United Kingdom,https://ror.org/02jx3x895,598475.0,34143.0,37008.0,35477.0
U0010,california institute of technology (caltech),United States,https://openalex.org/I122411786,California Institute of Technology,US,United States,https://ror.org/05dxps055,248293.0,6539.0,6951.0,6075.0
U0011,university of pennsylvania,United States,https://openalex.org/I79576946,University of Pennsylvania,US,United States,https://ror.org/00b30xv10,388838.0,17150.0,17178.0,17172.0
U0013,the university of melbourne,Australia,https://openalex.org/I165779595,The University of Melbourne,AU,Australia,https://ror.org/01ej9dk98,349437.0,21837.0,22572.0,21992.0
U0014,peking university,China (Mainland),https://openalex.org/I20231570,Peking University,CN,China,https://ror.org/02v51f717,400530.0,35166.0,33132.0,34255.0
U0016,cornell university,United States,https://openalex.org/I205783295,Cornell University,US,United States,https://ror.org/05bnh6r87,482412.0,21240.0,23448.0,22809.0
U0018,the university of sydney,Australia,https://openalex.org/I129604602,The University of Sydney,AU,Australia,https://ror.org/0384j8v12,339262.0,19206.0,19302.0,18647.0
U0020,tsinghua university,China (Mainland),https://openalex.org/I99065089,Tsinghua University,CN,China,https://ror.org/03cve4549,385984.0,26836.0,29771.0,32421.0
U0021,university of chicago,United States,https://openalex.org/I40347166,University of Chicago,US,United States,https://ror.org/024mw5h28,317399.0,14703.0,15500.0,16419.0
U0022,princeton university,United States,https://openalex.org/I20089843,Princeton University,US,United States,https://ror.org/00hx57361,218226.0,9012.0,8832.0,9048.0
U0023,yale university,United States,https://openalex.org/I32971472,Yale University,US,United States,https://ror.org/03v76x132,421451.0,18783.0,27874.0,31608.0
U0025,university of toronto,Canada,https://openalex.org/I185261750,University of Toronto,CA,Canada,https://ror.org/03dbr7087,563786.0,30277.0,30588.0,28447.0
U0026,epfl,Switzerland,https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,CH,Switzerland,https://ror.org/02s376052,176290.0,9357.0,9571.0,9690.0
U0028,technical university of munich,Germany,https://openalex.org/I62916508,Technical University of Munich,DE,Germany,https://ror.org/02kkvpp62,233350.0,14521.0,15374.0,14995.0
U0029,mcgill university,Canada,https://openalex.org/I5023651,McGill University,CA,Canada,https://ror.org/01pxwe438,297266.0,14866.0,15083.0,14346.0
U0031,seoul national university,South Korea,https://openalex.org/I139264467,Seoul National University,KR,South Korea,https://ror.org/04h9pn542,249707.0,13751.0,17794.0,13842.0
U0032,johns hopkins university,United States,https://openalex.org/I145311948,Johns Hopkins University,US,United States,https://ror.org/00za53h95,504352.0,24621.0,26157.0,25502.0
