university_id,university_name,country_name,year,publication_count
U0002,imperial college london,United Kingdom,2023,23056.0
U0002,imperial college london,United Kingdom,2024,23758.0
U0002,imperial college london,United Kingdom,2025,22698.0
U0003,university of oxford,United Kingdom,2023,45273.0
U0003,university of oxford,United Kingdom,2024,32787.0
U0003,university of oxford,United Kingdom,2025,34812.0
U0004,harvard university,United States,2023,35925.0
U0004,harvard university,United States,2024,33782.0
U0004,harvard university,United States,2025,33883.0
U0005,university of cambridge,United Kingdom,2023,22302.0
U0005,university of cambridge,United Kingdom,2024,23073.0
U0005,university of cambridge,United Kingdom,2025,23931.0
U0006,stanford university,United States,2023,25371.0
U0006,stanford university,United States,2024,26081.0
U0006,stanford university,United States,2025,26686.0
U0009,ucl,United Kingdom,2023,34143.0
U0009,ucl,United Kingdom,2024,37008.0
U0009,ucl,United Kingdom,2025,35477.0
U0010,california institute of technology (caltech),United States,2023,6539.0
U0010,california institute of technology (caltech),United States,2024,6951.0
U0010,california institute of technology (caltech),United States,2025,6075.0
U0011,university of pennsylvania,United States,2023,17150.0
U0011,university of pennsylvania,United States,2024,17178.0
U0011,university of pennsylvania,United States,2025,17172.0
U0013,the university of melbourne,Australia,2023,21837.0
U0013,the university of melbourne,Australia,2024,22572.0
U0013,the university of melbourne,Australia,2025,21992.0
U0014,peking university,China (Mainland),2023,35166.0
U0014,peking university,China (Mainland),2024,33132.0
U0014,peking university,China (Mainland),2025,34255.0
U0016,cornell university,United States,2023,21240.0
U0016,cornell university,United States,2024,23448.0
U0016,cornell university,United States,2025,22809.0
U0018,the university of sydney,Australia,2023,19206.0
U0018,the university of sydney,Australia,2024,19302.0
U0018,the university of sydney,Australia,2025,18647.0
U0020,tsinghua university,China (Mainland),2023,26836.0
U0020,tsinghua university,China (Mainland),2024,29771.0
U0020,tsinghua university,China (Mainland),2025,32421.0
U0021,university of chicago,United States,2023,14703.0
U0021,university of chicago,United States,2024,15500.0
U0021,university of chicago,United States,2025,16419.0
U0022,princeton university,United States,2023,9012.0
U0022,princeton university,United States,2024,8832.0
U0022,princeton university,United States,2025,9048.0
U0023,yale university,United States,2023,18783.0
U0023,yale university,United States,2024,27874.0
U0023,yale university,United States,2025,31608.0
U0025,university of toronto,Canada,2023,30277.0
U0025,university of toronto,Canada,2024,30588.0
U0025,university of toronto,Canada,2025,28447.0
U0026,epfl,Switzerland,2023,9357.0
U0026,epfl,Switzerland,2024,9571.0
U0026,epfl,Switzerland,2025,9690.0
U0028,technical university of munich,Germany,2023,14521.0
U0028,technical university of munich,Germany,2024,15374.0
U0028,technical university of munich,Germany,2025,14995.0
U0029,mcgill university,Canada,2023,14866.0
U0029,mcgill university,Canada,2024,15083.0
U0029,mcgill university,Canada,2025,14346.0
U0031,seoul national university,South Korea,2023,13751.0
U0031,seoul national university,South Korea,2024,17794.0
U0031,seoul national university,South Korea,2025,13842.0
U0032,johns hopkins university,United States,2023,24621.0
U0032,johns hopkins university,United States,2024,26157.0
U0032,johns hopkins university,United States,2025,25502.0
U0033,the university of tokyo,Japan,2023,20442.0
U0033,the university of tokyo,Japan,2024,19234.0
U0033,the university of tokyo,Japan,2025,19236.0
U0034,columbia university,United States,2023,16689.0
U0034,columbia university,United States,2024,17016.0
U0034,columbia university,United States,2025,17878.0
U0037,monash university,Australia,2023,20407.0
U0037,monash university,Australia,2024,19067.0
U0037,monash university,Australia,2025,19116.0
U0038,university of british columbia,Canada,2023,19145.0
