country,year,indicator,value,category
OECD Average,1995,All Institutions — Public expenditure (% GDP),4.9,expenditure
Australia,1995,All Institutions — Public expenditure (% GDP),4.5,expenditure
Austria,1995,All Institutions — Public expenditure (% GDP),5.3,expenditure
Belgium,1995,All Institutions — Public expenditure (% GDP),5.0,expenditure
Canada,1995,All Institutions — Public expenditure (% GDP),5.8,expenditure
Czech Republic,1995,All Institutions — Public expenditure (% GDP),4.8,expenditure
Denmark,1995,All Institutions — Public expenditure (% GDP),6.5,expenditure
Finland,1995,All Institutions — Public expenditure (% GDP),6.6,expenditure
France,1995,All Institutions — Public expenditure (% GDP),5.8,expenditure
Germany,1995,All Institutions — Public expenditure (% GDP),4.5,expenditure
Greece,1995,All Institutions — Public expenditure (% GDP),3.7,expenditure
Hungary,1995,All Institutions — Public expenditure (% GDP),4.9,expenditure
Iceland,1995,All Institutions — Public expenditure (% GDP),4.5,expenditure
Ireland,1995,All Institutions — Public expenditure (% GDP),4.7,expenditure
Italy,1995,All Institutions — Public expenditure (% GDP),4.5,expenditure
Japan,1995,All Institutions — Public expenditure (% GDP),3.6,expenditure
"Korea, Republic of",1995,All Institutions — Public expenditure (% GDP),3.6,expenditure
Luxembourg,1995,All Institutions — Public expenditure (% GDP),4.3,expenditure
Mexico,1995,All Institutions — Public expenditure (% GDP),4.6,expenditure
Netherlands,1995,All Institutions — Public expenditure (% GDP),4.6,expenditure
New Zealand,1995,All Institutions — Public expenditure (% GDP),5.3,expenditure
Norway,1995,All Institutions — Public expenditure (% GDP),6.8,expenditure
Poland,1995,All Institutions — Public expenditure (% GDP),5.2,expenditure
Portugal,1995,All Institutions — Public expenditure (% GDP),5.4,expenditure
Slovak Republic,1995,All Institutions — Public expenditure (% GDP),4.6,expenditure
Spain,1995,All Institutions — Public expenditure (% GDP),4.8,expenditure
Sweden,1995,All Institutions — Public expenditure (% GDP),6.6,expenditure
Switzerland,1995,All Institutions — Public expenditure (% GDP),5.5,expenditure
Turkey,1995,All Institutions — Public expenditure (% GDP),2.2,expenditure
United Kingdom,1995,All Institutions — Public expenditure (% GDP),4.6,expenditure
United States,1995,All Institutions — Public expenditure (% GDP),5.0,expenditure
Russia,1995,All Institutions — Public expenditure (% GDP),3.4,expenditure
OECD Average,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Australia,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.2,expenditure
Austria,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Belgium,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Canada,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.0,expenditure
Czech Republic,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Denmark,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.2,expenditure
Finland,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.2,expenditure
France,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Germany,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),2.9,expenditure
Greece,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),2.8,expenditure
Hungary,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Iceland,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Ireland,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Italy,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.2,expenditure
Japan,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),2.8,expenditure
"Korea, Republic of",1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.0,expenditure
Luxembourg,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.2,expenditure
Mexico,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Netherlands,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.0,expenditure
New Zealand,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Norway,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Poland,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Portugal,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Spain,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Sweden,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.4,expenditure
Switzerland,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Turkey,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),1.4,expenditure
United Kingdom,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
United States,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Russia,1995,Elementary and Secondary Institutions — Public expenditure (% GDP),1.9,expenditure
OECD Average,1995,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Australia,1995,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Austria,1995,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Belgium,1995,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Canada,1995,Higher Education Institutions — Public expenditure (% GDP),1.5,expenditure
Czech Republic,1995,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
Denmark,1995,Higher Education Institutions — Public expenditure (% GDP),1.3,expenditure
Finland,1995,Higher Education Institutions — Public expenditure (% GDP),1.7,expenditure
France,1995,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Germany,1995,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Greece,1995,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Hungary,1995,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Iceland,1995,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
Ireland,1995,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Italy,1995,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
Japan,1995,Higher Education Institutions — Public expenditure (% GDP),0.4,expenditure
"Korea, Republic of",1995,Higher Education Institutions — Public expenditure (% GDP),0.3,expenditure
Luxembourg,1995,Higher Education Institutions — Public expenditure (% GDP),0.1,expenditure
Mexico,1995,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Netherlands,1995,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
New Zealand,1995,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
Norway,1995,Higher Education Institutions — Public expenditure (% GDP),1.5,expenditure
Poland,1995,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Portugal,1995,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Spain,1995,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Sweden,1995,Higher Education Institutions — Public expenditure (% GDP),1.6,expenditure
Switzerland,1995,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
Turkey,1995,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
United Kingdom,1995,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
United States,1995,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
Russia,1995,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
OECD Average,2000,All Institutions — Public expenditure (% GDP),4.9,expenditure
Australia,2000,All Institutions — Public expenditure (% GDP),4.6,expenditure
Austria,2000,All Institutions — Public expenditure (% GDP),5.4,expenditure
Belgium,2000,All Institutions — Public expenditure (% GDP),5.1,expenditure
Canada,2000,All Institutions — Public expenditure (% GDP),5.2,expenditure
Chile,2000,All Institutions — Public expenditure (% GDP),4.2,expenditure
Czech Republic,2000,All Institutions — Public expenditure (% GDP),4.2,expenditure
Denmark,2000,All Institutions — Public expenditure (% GDP),6.4,expenditure
Finland,2000,All Institutions — Public expenditure (% GDP),5.5,expenditure
France,2000,All Institutions — Public expenditure (% GDP),5.7,expenditure
Germany,2000,All Institutions — Public expenditure (% GDP),4.3,expenditure
Greece,2000,All Institutions — Public expenditure (% GDP),3.7,expenditure
Hungary,2000,All Institutions — Public expenditure (% GDP),4.4,expenditure
Iceland,2000,All Institutions — Public expenditure (% GDP),5.7,expenditure
Ireland,2000,All Institutions — Public expenditure (% GDP),4.1,expenditure
Israel,2000,All Institutions — Public expenditure (% GDP),6.6,expenditure
Italy,2000,All Institutions — Public expenditure (% GDP),4.5,expenditure
Japan,2000,All Institutions — Public expenditure (% GDP),3.5,expenditure
"Korea, Republic of",2000,All Institutions — Public expenditure (% GDP),4.3,expenditure
Mexico,2000,All Institutions — Public expenditure (% GDP),4.7,expenditure
Netherlands,2000,All Institutions — Public expenditure (% GDP),4.3,expenditure
New Zealand,2000,All Institutions — Public expenditure (% GDP),5.8,expenditure
Norway,2000,All Institutions — Public expenditure (% GDP),5.8,expenditure
Poland,2000,All Institutions — Public expenditure (% GDP),5.2,expenditure
Portugal,2000,All Institutions — Public expenditure (% GDP),5.6,expenditure
Slovak Republic,2000,All Institutions — Public expenditure (% GDP),4.0,expenditure
Spain,2000,All Institutions — Public expenditure (% GDP),4.3,expenditure
Sweden,2000,All Institutions — Public expenditure (% GDP),6.3,expenditure
Switzerland,2000,All Institutions — Public expenditure (% GDP),5.3,expenditure
Turkey,2000,All Institutions — Public expenditure (% GDP),3.4,expenditure
United Kingdom,2000,All Institutions — Public expenditure (% GDP),4.5,expenditure
United States,2000,All Institutions — Public expenditure (% GDP),4.6,expenditure
Russia,2000,All Institutions — Public expenditure (% GDP),3.0,expenditure
OECD Average,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Australia,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
Austria,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
