world_rank,university_name,country,num_students,student_staff_ratio,international_students,female_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,university_id
1,University of Oxford,United Kingdom,20965.0,10.6,42.0,48.0,96.4,92.3,99.7,99.0,74.9,96.2,2023,UNI_00886
2,Harvard University,United States,21887.0,9.6,25.0,50.0,95.2,94.8,99.0,99.3,49.5,80.5,2023,UNI_01065
3,University of Cambridge,United Kingdom,20185.0,11.3,39.0,47.0,94.8,90.9,99.5,97.0,54.2,95.8,2023,UNI_00910
3,Stanford University,United States,16164.0,7.1,24.0,46.0,94.8,94.2,96.7,99.8,65.0,79.8,2023,UNI_01081
5,Massachusetts Institute of Technology,United States,11415.0,8.2,33.0,40.0,94.2,90.7,93.6,99.8,90.9,89.3,2023,UNI_01080
6,California Institute of Technology,United States,2237.0,6.2,34.0,37.0,94.1,90.9,97.0,97.3,89.8,83.6,2023,UNI_01076
7,Princeton University,United States,8279.0,8.0,23.0,46.0,92.4,87.6,95.9,99.1,66.0,80.3,2023,UNI_01115
8,"University of California, Berkeley",United States,40921.0,18.4,24.0,52.0,92.1,86.4,95.8,99.0,76.8,78.4,2023,UNI_01113
9,Yale University,United States,13482.0,5.9,21.0,52.0,91.4,92.6,92.7,97.0,55.0,70.9,2023,UNI_01111
10,Imperial College London,United Kingdom,18545.0,11.2,61.0,40.0,90.4,82.8,90.8,98.3,59.8,97.5,2023,UNI_00925
11,Columbia University,United States,21781.0,4.5,38.0,,89.4,89.4,87.7,97.1,44.8,79.9,2023,UNI_01057
11,ETH Zurich,Switzerland,21665.0,14.8,41.0,33.0,89.4,82.6,95.4,90.7,59.1,97.7,2023,UNI_00824
13,The University of Chicago,United States,15366.0,6.0,36.0,47.0,88.9,86.5,88.8,97.7,56.2,74.2,2023,UNI_01058
14,University of Pennsylvania,United States,21453.0,6.3,23.0,53.0,88.8,86.0,88.8,97.0,75.8,71.5,2023,UNI_00989
15,Johns Hopkins University,United States,17584.0,4.7,29.0,53.0,88.3,79.4,91.5,97.0,89.5,75.3,2023,UNI_01121
16,Tsinghua University,,38324.0,11.6,10.0,,88.2,90.1,97.4,88.0,100.0,40.3,2023,UNI_00157
17,Peking University,,31994.0,10.3,19.0,,88.1,92.5,96.7,80.4,91.8,65.0,2023,UNI_00162
18,University of Toronto,Canada,77468.0,25.8,26.0,56.0,87.4,77.3,93.3,92.8,65.5,89.7,2023,UNI_00091
19,National University of Singapore,,32337.0,19.8,25.0,51.0,87.1,76.4,93.0,90.2,87.0,94.0,2023,UNI_00710
20,Cornell University,United States,24027.0,10.3,26.0,51.0,85.9,80.2,86.1,97.3,40.4,76.9,2023,UNI_01122
21,"University of California, Los Angeles",United States,42434.0,9.7,16.0,56.0,85.8,80.4,88.9,95.4,58.8,65.0,2023,UNI_01116
22,UCL,United Kingdom,36790.0,10.3,60.0,59.0,85.7,74.5,85.4,97.9,44.5,96.7,2023,UNI_00965
23,University of Michigan-Ann Arbor,United States,45912.0,8.2,17.0,50.0,82.9,79.3,84.6,93.6,48.7,59.2,2023,UNI_01142
24,New York University,United States,36337.0,9.8,42.0,57.0,82.7,74.2,84.0,95.0,44.6,74.7,2023,UNI_01011
25,Duke University,United States,16091.0,4.2,24.0,52.0,82.6,78.1,76.2,95.7,99.6,68.0,2023,UNI_00986
26,Northwestern University,United States,19175.0,13.2,20.0,51.0,82.1,71.7,80.7,97.5,85.0,67.0,2023,UNI_00994
26,University of Washington,United States,47727.0,10.8,18.0,55.0,82.1,71.6,82.8,98.9,53.9,63.0,2023,UNI_00982
28,Carnegie Mellon University,United States,14305.0,12.9,47.0,44.0,81.1,65.4,81.8,98.7,55.2,80.1,2023,UNI_00987
29,University of Edinburgh,United Kingdom,32845.0,11.8,47.0,62.0,79.8,66.9,74.5,97.1,40.9,95.6,2023,UNI_00939
30,Technical University of Munich,,33960.0,40.6,36.0,37.0,79.3,69.8,82.2,84.5,100.0,77.7,2023,UNI_00375
31,University of Hong Kong,,18087.0,18.2,43.0,54.0,78.5,65.6,74.1,92.4,60.6,98.7,2023,UNI_00419
32,"University of California, San Diego",United States,37030.0,11.3,28.0,48.0,78.1,60.2,77.2,98.2,93.0,67.8,2023,UNI_01032
33,LMU Munich,,35003.0,34.2,19.0,61.0,77.7,67.3,78.3,87.4,100.0,70.5,2023,UNI_00373
34,University of Melbourne,Australia,49588.0,23.8,47.0,58.0,77.6,67.1,75.9,85.8,78.1,93.6,2023,UNI_00026
35,King’s College London,United Kingdom,28965.0,11.8,52.0,63.0,77.1,58.0,72.9,98.2,45.6,96.1,2023,UNI_00909
36,"Nanyang Technological University, Singapore",Singapore,24651.0,15.1,25.0,48.0,77.0,60.9,77.9,87.2,84.5,94.5,2023,UNI_00709
37,London School of Economics and Political Science,United Kingdom,11120.0,11.9,73.0,55.0,76.5,59.2,74.3,95.1,37.8,92.8,2023,UNI_00884
38,Georgia Institute of Technology,United States,28826.0,24.7,40.0,33.0,76.0,60.2,75.9,91.4,64.9,81.2,2023,UNI_00996
39,The University of Tokyo,Japan,26112.0,10.5,15.0,,75.9,88.1,91.4,55.5,86.7,43.3,2023,UNI_00564
40,University of British Columbia,Canada,56452.0,18.9,34.0,55.0,75.7,62.9,73.1,88.8,47.9,94.8,2023,UNI_00100
41,École Polytechnique Fédérale de Lausanne,Switzerland,11641.0,12.3,62.0,30.0,75.4,65.6,70.7,84.5,71.7,98.0,2023,UNI_00820
42,KU Leuven,,47663.0,36.5,18.0,51.0,74.6,59.7,74.9,86.7,99.2,76.8,2023,UNI_00056
43,Universität Heidelberg,,19347.0,13.5,21.0,55.0,74.1,67.2,61.5,96.0,55.7,71.2,2023,UNI_01371
44,Monash University,Australia,58725.0,42.5,41.0,57.0,73.6,56.9,68.7,90.4,78.4,91.0,2023,UNI_00015
45,Chinese University of Hong Kong,,18468.0,19.0,21.0,,73.2,59.1,61.1,95.7,60.9,92.5,2023,UNI_00417
46,McGill University,,32309.0,12.5,30.0,60.0,73.0,62.0,72.4,82.5,43.5,91.0,2023,UNI_00104
47,Paris Sciences et Lettres – PSL Research University Paris,France,16218.0,15.0,22.0,51.0,72.9,68.2,73.5,75.5,78.8,76.3,2023,UNI_00317
48,University of Illinois at Urbana-Champaign,United States,48674.0,17.4,22.0,48.0,72.7,67.1,78.9,78.1,50.1,56.2,2023,UNI_01037
49,Karolinska Institute,Sweden,8021.0,9.9,27.0,70.0,72.4,51.1,68.8,94.0,66.4,87.3,2023,UNI_00807
50,University of Texas at Austin,United States,49171.0,17.4,10.0,53.0,72.3,66.2,73.1,87.5,51.3,40.1,2023,UNI_01105
51,Fudan University,China,36318.0,11.9,9.0,52.0,72.0,71.8,75.8,74.5,77.3,45.2,2023,UNI_00134
52,Shanghai Jiao Tong University,China,37478.0,11.5,8.0,42.0,71.2,75.3,82.9,59.9,100.0,43.7,2023,UNI_00171
53,The University of Queensland,,41372.0,34.2,41.0,55.0,71.1,55.9,66.5,84.3,82.0,93.2,2023,UNI_00014
54,University of Manchester,,37035.0,14.2,44.0,55.0,70.9,54.5,63.7,91.3,45.3,92.7,2023,UNI_00892
54,The University of Sydney,Australia,45853.0,19.0,45.0,58.0,70.9,53.1,65.8,88.5,73.2,90.6,2023,UNI_00025
56,Seoul National University,South Korea,26209.0,15.1,10.0,,70.8,75.2,76.2,67.6,96.6,35.9,2023,UNI_00723
57,Washington University in St Louis,United States,14420.0,7.8,24.0,53.0,70.6,60.3,56.8,98.2,47.5,64.0,2023,UNI_01039
58,The Hong Kong University of Science and Technology,,9864.0,21.0,32.0,,70.5,51.4,63.4,87.7,95.0,97.7,2023,UNI_00418
59,Wageningen University & Research,Netherlands,15404.0,18.6,27.0,55.0,70.3,50.4,60.2,93.2,100.0,88.8,2023,UNI_00645
60,University of Amsterdam,Netherlands,29157.0,14.5,32.0,59.0,69.6,48.0,64.1,93.3,44.4,91.9,2023,UNI_00635
61,Brown University,United States,10037.0,10.1,21.0,,69.3,64.5,58.0,89.5,39.0,63.3,2023,UNI_01021
62,Australian National University,Australia,16758.0,14.6,51.0,52.0,69.0,51.3,69.2,81.8,45.6,96.0,2023,UNI_00009
63,"University of California, Davis",United States,37639.0,13.1,18.0,60.0,68.5,59.7,66.3,80.9,52.4,68.7,2023,UNI_01092
64,"University of California, Santa Barbara",United States,25860.0,28.5,20.0,54.0,68.4,44.6,61.5,96.2,80.1,76.0,2023,UNI_00970
65,University of Southern California,United States,40549.0,12.6,22.0,49.0,68.3,58.9,58.6,90.4,43.8,63.7,2023,UNI_01031
66,Utrecht University,Netherlands,32532.0,17.1,13.0,62.0,68.2,44.3,66.0,91.2,72.7,78.8,2023,UNI_00639
67,Zhejiang University,,46124.0,12.0,16.0,,68.1,67.3,74.8,62.8,100.0,55.1,2023,UNI_00189
68,Kyoto University,Japan,22269.0,9.2,12.0,25.0,68.0,77.5,79.1,52.3,88.6,40.5,2023,UNI_00542
69,University of North Carolina at Chapel Hill,United States,31080.0,7.9,8.0,59.0,67.8,58.9,59.7,93.3,46.0,41.7,2023,UNI_00974
70,Delft University of Technology,Netherlands,20299.0,16.1,31.0,31.0,67.7,58.8,76.4,59.1,93.4,94.2,2023,UNI_00640
71,Boston University,United States,27243.0,10.8,31.0,59.0,67.5,55.9,56.1,92.9,41.1,65.9,2023,UNI_01000
71,UNSW Sydney,,45133.0,36.3,40.0,47.0,67.5,51.1,59.0,85.9,63.5,95.1,2023,UNI_01372
73,Charité - Universitätsmedizin Berlin,Germany,8429.0,18.0,21.0,64.0,67.2,48.5,52.2,98.8,87.1,69.3,2023,UNI_00388
74,University of Science and Technology of China,,18573.0,8.1,6.0,,67.1,65.0,64.9,78.8,69.4,36.9,2023,UNI_00177
75,University of Groningen,,30009.0,24.4,28.0,52.0,66.6,45.4,57.6,90.4,75.8,89.8,2023,UNI_00634
76,University of Bristol,,25680.0,14.6,31.0,56.0,66.5,43.8,53.4,98.6,43.5,89.4,2023,UNI_00890
77,Leiden University,,33648.0,19.3,20.0,60.0,66.4,43.2,64.4,86.6,68.4,85.4,2023,UNI_00636
78,Yonsei University (Seoul campus),,19481.0,14.7,17.0,50.0,66.3,67.0,68.9,63.9,94.8,52.8,2023,UNI_01373
79,Hong Kong Polytechnic University,,19046.0,28.9,30.0,51.0,65.8,46.6,57.0,86.7,56.0,97.6,2023,UNI_00416
80,Erasmus University Rotterdam,,31668.0,33.9,22.0,53.0,65.7,38.6,57.1,95.6,64.4,89.7,2023,UNI_00643
81,University of Wisconsin-Madison,United States,40701.0,10.0,14.0,,65.5,59.7,62.9,78.7,48.4,51.8,2023,UNI_01087
82,Emory University,United States,13190.0,4.2,20.0,60.0,65.3,54.8,46.0,98.0,48.6,59.8,2023,UNI_01010
82,University of Glasgow,,28540.0,13.5,41.0,59.0,65.3,43.3,50.8,96.5,41.9,93.8,2023,UNI_00947
82,University of Zurich,Switzerland,25003.0,13.7,22.0,56.0,65.3,51.5,50.7,87.5,57.6,93.0,2023,UNI_00817
85,McMaster University,,26403.0,29.0,20.0,56.0,65.1,42.7,51.1,94.6,89.9,84.7,2023,UNI_00108
86,Humboldt University of Berlin,Germany,34399.0,53.2,17.0,,64.9,55.2,64.3,75.6,42.8,70.5,2023,UNI_00363
86,University of Tübingen,Germany,20620.0,27.5,13.0,59.0,64.9,51.1,58.2,84.5,79.9,64.1,2023,UNI_00387
88,University of Adelaide,,23102.0,32.8,32.0,49.0,64.7,42.7,51.8,92.2,65.3,93.6,2023,UNI_00020
89,University of Bonn,Germany,27210.0,47.5,17.0,56.0,64.6,51.6,56.1,86.0,55.0,68.7,2023,UNI_00365
90,Sorbonne University,France,41443.0,13.9,21.0,59.0,64.5,58.7,58.3,76.6,40.0,72.3,2023,UNI_00275
91,Free University of Berlin,Germany,26497.0,41.9,23.0,62.0,64.2,54.2,62.4,74.8,41.7,76.4,2023,UNI_00352
91,Korea Advanced Institute of Science and Technology (KAIST),South Korea,9946.0,10.7,9.0,21.0,64.2,64.5,66.0,65.7,100.0,38.2,2023,UNI_00726
93,Université Paris-Saclay,France,44443.0,14.9,19.0,49.0,63.9,56.7,55.2,79.1,54.6,69.7,2023,UNI_00293
94,University of Bern,Switzerland,11728.0,17.2,17.0,58.0,63.7,46.0,46.5,90.7,86.3,88.2,2023,UNI_00815
95,"University of California, Irvine",United States,36655.0,16.9,28.0,52.0,63.6,43.5,51.6,93.6,59.4,73.2,2023,UNI_01017
95,Institut Polytechnique de Paris,France,5999.0,6.7,41.0,24.0,63.6,58.5,58.8,64.8,72.7,95.6,2023,UNI_00290
95,Nanjing University,China,36426.0,16.5,8.0,54.0,63.6,58.4,58.2,74.3,87.3,55.2,2023,UNI_00154
98,Vanderbilt University,United States,12696.0,3.8,15.0,55.0,63.5,49.5,47.5,96.5,66.7,50.6,2023,UNI_01019
99,City University of Hong Kong,,9099.0,12.1,62.0,54.0,63.4,47.2,53.0,79.9,76.6,99.6,2023,UNI_00415
99,RWTH Aachen University,Germany,39738.0,50.0,28.0,33.0,63.4,56.8,64.5,66.1,93.8,65.1,2023,UNI_00364
