university_id,year,total_students,students_per_staff,international_student_percentage,stats_female_male_ratio,source,female_male_ratio
U3049,2024,21750.0,10.9,42.0,49 : 51,THE 2024,
U1970,2024,14517.0,6.4,23.0,47 : 53,THE 2024,
U1289,2024,11085.0,8.0,33.0,41 : 59,THE 2024,
U0773,2024,20050.0,9.0,25.0,51 : 49,THE 2024,
U2718,2024,20565.0,11.5,38.0,48 : 52,THE 2024,
U1702,2024,7753.0,7.3,23.0,47 : 53,THE 2024,
U0321,2024,2240.0,6.1,33.0,37 : 63,THE 2024,
U0851,2024,20275.0,11.8,61.0,42 : 58,THE 2024,
U2705,2024,39991.0,17.9,22.0,52 : 48,THE 2024,
U3420,2024,11924.0,5.2,21.0,51 : 49,THE 2024,
U0599,2024,22619.0,15.4,43.0,33 : 67,THE 2024,
U2157,2024,38518.0,11.2,10.0,,THE 2024,
U2738,2024,15792.0,6.2,36.0,47 : 53,THE 2024,
U1627,2024,33064.0,10.9,14.0,,THE 2024,
U1016,2024,15772.0,4.1,28.0,56 : 44,THE 2024,
U3062,2024,21312.0,6.2,22.0,54 : 46,THE 2024,
U0467,2024,25914.0,5.2,35.0,,THE 2024,
U2709,2024,42634.0,9.6,15.0,56 : 44,THE 2024,
U1480,2024,33334.0,20.0,24.0,49 : 51,THE 2024,
U0478,2024,23620.0,10.0,24.0,51 : 49,THE 2024,
U3228,2024,79282.0,25.8,27.0,56 : 44,THE 2024,
U2175,2024,41110.0,11.3,61.0,59 : 41,THE 2024,
U2971,2024,45783.0,8.1,16.0,51 : 49,THE 2024,
U0337,2024,13562.0,11.9,44.0,44 : 56,THE 2024,
U3272,2024,49486.0,10.1,16.0,56 : 44,THE 2024,
U0550,2024,15527.0,3.9,18.0,52 : 48,THE 2024,
U1501,2024,48461.0,11.8,42.0,58 : 42,THE 2024,
U1539,2024,18894.0,13.1,18.0,52 : 48,THE 2024,
U3226,2024,26345.0,10.3,15.0,,THE 2024,
U2788,2024,33940.0,11.5,46.0,61 : 39,THE 2024,
U2071,2024,35506.0,44.4,39.0,37 : 63,THE 2024,
U1404,2024,25895.0,16.7,27.0,49 : 51,THE 2024,
U0456,2024,12543.0,13.5,64.0,30 : 70,THE 2024,
U2713,2024,40596.0,12.0,19.0,45 : 55,THE 2024,
U2851,2024,18103.0,18.3,43.0,55 : 45,THE 2024,
U0703,2024,32079.0,28.0,29.0,34 : 66,THE 2024,
U2966,2024,51307.0,25.1,47.0,58 : 42,THE 2024,
U1118,2024,32835.0,13.9,53.0,63 : 37,THE 2024,
U1224,2024,34622.0,33.5,18.0,62 : 38,THE 2024,
U1618,2024,16120.0,15.0,22.0,51 : 49,THE 2024,
U2697,2024,58987.0,19.4,34.0,55 : 45,THE 2024,
U2866,2024,50250.0,19.6,23.0,51 : 49,THE 2024,
U1878,2024,38472.0,12.6,9.0,37 : 63,THE 2024,
U0673,2024,38101.0,12.6,9.0,52 : 48,THE 2024,
U1159,2024,49435.0,37.3,19.0,52 : 48,THE 2024,
U1236,2024,11945.0,12.6,72.0,56 : 44,THE 2024,
U2591,2024,19315.0,13.3,20.0,55 : 45,THE 2024,
U0514,2024,21262.0,15.9,30.0,31 : 69,THE 2024,
U1296,2024,30821.0,11.9,29.0,61 : 39,THE 2024,
U1054,2024,8085.0,9.9,27.0,70 : 30,THE 2024,
U2945,2024,40725.0,15.6,45.0,56 : 44,THE 2024,
U3194,2024,48558.0,16.4,8.0,55 : 45,THE 2024,
U0400,2024,18290.0,18.8,25.0,,THE 2024,
U1349,2024,58460.0,43.1,38.0,56 : 44,THE 2024,
U1177,2024,21817.0,9.0,11.0,25 : 75,THE 2024,
U3456,2024,48169.0,12.0,16.0,,THE 2024,
U3120,2024,20252.0,8.1,5.0,,THE 2024,
U2579,2024,31662.0,13.0,24.0,50 : 50,THE 2024,
U2707,2024,37926.0,13.3,18.0,60 : 40,THE 2024,
U3174,2024,57414.0,23.1,51.0,58 : 42,THE 2024,
U2644,2024,28649.0,13.2,36.0,60 : 40,THE 2024,
U1855,2024,28620.0,16.1,13.0,,THE 2024,
U3282,2024,41209.0,9.9,13.0,,THE 2024,
U0303,2024,9781.0,10.3,19.0,,THE 2024,
U0808,2024,9794.0,19.9,30.0,,THE 2024,
U3370,2024,15899.0,18.1,28.0,54 : 46,THE 2024,
U0191,2024,17293.0,15.1,48.0,52 : 48,THE 2024,
U3379,2024,13825.0,7.3,22.0,52 : 48,THE 2024,
U2715,2024,25540.0,27.5,18.0,54 : 46,THE 2024,
U3086,2024,42847.0,39.1,42.0,55 : 45,THE 2024,
U0907,2024,6073.0,6.8,42.0,25 : 75,THE 2024,
U3025,2024,30782.0,7.7,8.0,60 : 40,THE 2024,
U1398,2024,36711.0,16.7,8.0,54 : 46,THE 2024,
U3152,2024,44083.0,14.2,24.0,49 : 51,THE 2024,
U1940,2024,41527.0,14.5,22.0,60 : 40,THE 2024,
U3440,2024,18961.0,13.9,17.0,49 : 51,THE 2024,
U1210,2024,35072.0,19.3,21.0,60 : 40,THE 2024,
U0289,2024,26677.0,10.8,29.0,58 : 42,THE 2024,
U2830,2024,31942.0,28.8,29.0,53 : 47,THE 2024,
U3300,2024,25608.0,14.7,24.0,58 : 42,THE 2024,
U2696,2024,27335.0,14.8,31.0,55 : 45,THE 2024,
U0421,2024,9076.0,13.2,67.0,54 : 46,THE 2024,
U1148,2024,10130.0,10.7,8.0,21 : 79,THE 2024,
U3307,2024,47044.0,36.6,40.0,47 : 53,THE 2024,
U2976,2024,59556.0,11.8,9.0,55 : 45,THE 2024,
U1711,2024,42633.0,18.3,17.0,44 : 56,THE 2024,
U2823,2024,32270.0,14.4,43.0,59 : 41,THE 2024,
U0807,2024,20034.0,30.6,30.0,51 : 49,THE 2024,
U0823,2024,34761.0,54.5,18.0,,THE 2024,
U1791,2024,34914.0,43.3,29.0,34 : 66,THE 2024,
U2687,2024,26290.0,44.5,17.0,57 : 43,THE 2024,
U2708,2024,35675.0,16.2,26.0,53 : 47,THE 2024,
U3330,2024,12971.0,3.9,17.0,55 : 45,THE 2024,
U0378,2024,8868.0,17.5,21.0,65 : 35,THE 2024,
U1232,2024,32680.0,9.6,37.0,50 : 50,THE 2024,
U3184,2024,21632.0,27.1,14.0,59 : 41,THE 2024,
U1157,2024,13269.0,15.9,26.0,34 : 66,THE 2024,
U3144,2024,19920.0,13.0,35.0,51 : 49,THE 2024,
U0586,2024,33874.0,36.0,25.0,54 : 46,THE 2024,
U1568,2024,55538.0,11.4,11.0,51 : 49,THE 2024,
U2679,2024,32625.0,15.2,32.0,58 : 42,THE 2024,
U0668,2024,25427.0,41.5,20.0,63 : 37,THE 2024,
U2755,2024,31728.0,4.3,14.0,62 : 38,THE 2024,
U1297,2024,28254.0,30.9,22.0,56 : 44,THE 2024,
U3129,2024,27860.0,15.4,40.0,53 : 47,THE 2024,
U0583,2024,13127.0,4.0,19.0,61 : 39,THE 2024,
U1249,2024,30349.0,12.0,18.0,56 : 44,THE 2024,
U3271,2024,24905.0,14.4,44.0,50 : 50,THE 2024,
U0003,2024,26996.0,13.5,9.0,56 : 44,THE 2024,
U2634,2024,33730.0,22.8,27.0,,THE 2024,
U2625,2024,23792.0,36.4,31.0,49 : 51,THE 2024,
U2831,2024,23349.0,27.4,14.0,53 : 47,THE 2024,
U2995,2024,39935.0,20.5,22.0,,THE 2024,
U2954,2024,33988.0,17.0,9.0,49 : 51,THE 2024,
U0709,2024,41487.0,37.6,12.0,57 : 43,THE 2024,
U2676,2024,12399.0,18.2,16.0,59 : 41,THE 2024,
U1323,2024,44514.0,16.1,11.0,52 : 48,THE 2024,
U2100,2024,64427.0,20.5,6.0,47 : 53,THE 2024,
U1749,2024,7318.0,9.8,26.0,42 : 58,THE 2024,
U3262,2024,31318.0,37.4,31.0,66 : 34,THE 2024,
