university_id,country_id,year,source,global_rank,global_ranking_score,research_impact_score,students_per_staff,international_student_percentage,academic_reputation_score,research_productivity_index,international_students_score
U1290,C0245,2025,QS 2025,1.0,100.0,100.0,,,100.0,98.3838383838384,86.8
U0851,C0244,2025,QS 2025,2.0,98.5,93.9,,,98.5,95.25252525252526,99.6
U3049,C0244,2025,QS 2025,3.0,96.9,84.8,,,100.0,90.78787878787878,97.7
U0773,C0245,2025,QS 2025,4.0,96.8,100.0,,,100.0,99.83838383838383,69.0
U2718,C0244,2025,QS 2025,5.0,96.7,84.6,,,100.0,90.38383838383838,94.8
U1970,C0245,2025,QS 2025,6.0,96.1,99.0,,,100.0,98.1010101010101,60.8
U0600,C0227,2025,QS 2025,7.0,93.9,97.9,,,98.8,96.989898989899,98.6
U1481,C0205,2025,QS 2025,8.0,93.7,93.1,,,99.5,92.42424242424242,88.9
U2175,C0244,2025,QS 2025,9.0,91.6,72.2,,,99.5,83.11111111111111,100.0
U0322,C0245,2025,QS 2025,10.0,90.9,100.0,,,96.5,86.06060606060606,79.8
U3062,C0245,2025,QS 2025,11.0,90.3,74.0,,,96.3,80.96969696969697,66.2
U2706,C0245,2025,QS 2025,12.0,90.1,98.2,,,100.0,97.77777777777776,61.0
U2966,C0014,2025,QS 2025,13.0,88.9,93.0,,,98.5,94.70707070707071,99.8
U1627,C0268,2025,QS 2025,14.0,88.5,97.7,,,99.5,90.44444444444446,23.6
U1405,C0205,2025,QS 2025,15.0,88.4,92.4,,,91.9,91.11111111111111,83.5
U0478,C0245,2025,QS 2025,16.0,87.9,97.5,,,98.3,96.06060606060606,63.4
U2851,C0270,2025,QS 2025,17.0,87.6,86.4,,,97.4,84.24242424242425,99.3
U3174,C0014,2025,QS 2025,18.0,87.3,93.7,,,96.4,94.48484848484848,100.0
U3019,C0014,2025,QS 2025,19.0,87.1,94.9,,,90.5,96.22222222222224,99.4
U2157,C0268,2025,QS 2025,20.0,86.5,99.1,,,99.2,91.05050505050504,13.4
U2738,C0245,2025,QS 2025,21.0,86.2,60.8,,,99.1,70.22222222222223,87.0
U1702,C0245,2025,QS 2025,22.0,85.5,100.0,,,99.8,91.23232323232322,56.6
U3420,C0245,2025,QS 2025,23.0,85.2,38.6,,,99.9,60.32323232323233,63.3
U2582,C0082,2025,QS 2025,24.0,84.7,87.6,,,74.4,92.4040404040404,65.0
U3228,C0039,2025,QS 2025,25.0,84.1,50.8,,,99.7,69.25252525252526,96.1
U0585,C0227,2025,QS 2025,26.0,83.5,93.6,,,84.2,88.72727272727272,100.0
U2788,C0244,2025,QS 2025,27.0,83.3,47.7,,,98.3,68.1010101010101,99.8
U2071,C0086,2025,QS 2025,28.0,83.2,75.9,,,83.0,83.61616161616162,98.6
U1296,C0039,2025,QS 2025,29.0,83.0,57.9,,,94.3,72.14141414141415,89.6
U0191,C0014,2025,QS 2025,30.0,82.4,84.6,,,93.8,87.1919191919192,96.2
U1855,C0261,2025,QS 2025,31.0,82.3,71.7,,,98.5,72.02020202020202,16.9
U1016,C0245,2025,QS 2025,32.0,82.1,84.2,,,86.0,89.8989898989899,95.8
U3226,C0116,2025,QS 2025,32.0,82.1,57.3,,,100.0,69.03030303030303,29.7
U0467,C0245,2025,QS 2025,34.0,82.0,31.7,,,99.6,58.0,97.0
U2945,C0244,2025,QS 2025,34.0,82.0,45.1,,,95.6,66.40404040404042,99.2
U0401,C0270,2025,QS 2025,36.0,81.3,92.9,,,86.7,85.27272727272728,87.5
U1349,C0014,2025,QS 2025,37.0,81.2,87.6,,,89.2,90.38383838383838,100.0
U2697,C0039,2025,QS 2025,38.0,81.0,57.7,,,98.3,72.82828282828282,72.8
U0673,C0268,2025,QS 2025,39.0,80.3,80.7,,,85.7,75.05050505050505,35.1
U1118,C0244,2025,QS 2025,40.0,80.2,53.6,,,90.3,71.31313131313131,99.5
U3086,C0014,2025,QS 2025,40.0,80.2,90.2,,,86.7,92.72727272727272,100.0
U2710,C0245,2025,QS 2025,42.0,79.8,74.0,,,100.0,82.42424242424241,22.3
U1502,C0245,2025,QS 2025,43.0,79.6,28.6,,,96.3,53.737373737373744,98.1
U2971,C0245,2025,QS 2025,44.0,79.0,47.6,,,97.9,66.54545454545455,39.2
U1878,C0268,2025,QS 2025,45.0,77.8,99.6,,,84.0,89.13131313131314,19.6
U0907,C0082,2025,QS 2025,46.0,77.5,86.1,,,44.7,87.37373737373737,98.0
U0808,C0270,2025,QS 2025,47.0,77.1,99.7,,,81.1,78.28282828282828,95.4
U3456,C0268,2025,QS 2025,47.0,77.1,99.5,,,75.3,96.3838383838384,15.9
U0514,C0168,2025,QS 2025,49.0,77.0,79.7,,,74.4,85.15151515151516,91.4
U1177,C0116,2025,QS 2025,50.0,76.0,39.3,,,98.8,57.43434343434343,19.0
U1539,C0245,2025,QS 2025,50.0,76.0,67.7,,,84.0,76.14141414141415,52.0
U1237,C0244,2025,QS 2025,50.0,76.0,69.4,,,67.2,73.85858585858585,100.0
U1032,C0261,2025,QS 2025,53.0,75.7,96.2,,,87.7,76.20202020202021,10.9
U2696,C0244,2025,QS 2025,54.0,75.4,75.9,,,75.8,83.21212121212122,89.8
U2644,C0168,2025,QS 2025,55.0,73.7,92.2,,,83.8,93.77777777777776,87.5
U3439,C0261,2025,QS 2025,56.0,72.9,44.1,,,81.5,57.51515151515152,51.2
U0807,C0270,2025,QS 2025,57.0,72.1,94.9,,,68.0,88.3838383838384,91.9
U0337,C0245,2025,QS 2025,58.0,72.0,98.9,,,69.8,91.21212121212122,99.1
U1247,C0086,2025,QS 2025,59.0,71.6,50.0,,,92.2,67.87878787878788,37.6
U2539,C0145,2025,QS 2025,60.0,71.2,29.1,,,82.9,53.71717171717172,64.2
U0550,C0245,2025,QS 2025,61.0,70.8,35.1,,,86.0,57.95959595959596,61.0
U0421,C0270,2025,QS 2025,62.0,70.7,100.0,,,60.9,85.01010101010101,100.0
U1159,C0022,2025,QS 2025,63.0,70.3,91.0,,,84.6,94.34343434343434,47.7
U1940,C0082,2025,QS 2025,63.0,70.3,72.3,,,87.2,83.13131313131314,46.7
U2653,C0170,2025,QS 2025,65.0,69.7,66.9,,,82.2,74.84848484848484,84.0
U3194,C0245,2025,QS 2025,66.0,69.5,76.7,,,93.5,82.52525252525253,11.7
U1149,C0261,2025,QS 2025,67.0,69.0,45.0,,,78.2,52.8080808080808,45.7
U1451,C0267,2025,QS 2025,68.0,68.7,44.3,,,93.4,54.727272727272734,27.4
U3271,C0244,2025,QS 2025,69.0,68.2,37.7,,,72.2,59.8989898989899,99.1
U2866,C0245,2025,QS 2025,69.0,68.2,77.5,,,83.9,82.48484848484848,56.3
U2254,C0011,2025,QS 2025,71.0,67.6,1.6,,,94.1,29.61616161616162,64.6
U2714,C0245,2025,QS 2025,72.0,67.1,67.0,,,89.3,78.18181818181817,44.3
U2579,C0082,2025,QS 2025,73.0,67.0,35.0,,,60.7,60.040404040404034,58.6
U1157,C0226,2025,QS 2025,74.0,65.7,86.1,,,45.2,87.97979797979798,65.9
U1249,C0226,2025,QS 2025,75.0,65.6,44.6,,,68.3,65.0909090909091,73.4
U3272,C0245,2025,QS 2025,76.0,65.3,78.8,,,81.9,85.37373737373736,32.8
U3276,C0014,2025,QS 2025,77.0,65.2,98.8,,,55.5,96.92929292929291,99.8
U2823,C0244,2025,QS 2025,78.0,65.0,32.5,,,77.4,58.121212121212125,99.4
U0303,C0245,2025,QS 2025,79.0,64.7,76.4,,,59.9,78.9090909090909,50.9
U2679,C0244,2025,QS 2025,80.0,64.1,40.5,,,68.9,62.92929292929293,89.3
U3144,C0244,2025,QS 2025,80.0,64.1,83.4,,,50.1,88.76767676767676,98.0
U2625,C0014,2025,QS 2025,82.0,63.8,87.0,,,56.0,89.53535353535354,99.3
U2916,C0244,2025,QS 2025,82.0,63.8,39.8,,,70.5,63.03030303030303,88.5
U1781,C0086,2025,QS 2025,84.0,63.7,32.7,,,76.9,56.98989898989899,53.6
U2124,C0116,2025,QS 2025,84.0,63.7,43.1,,,75.1,49.83838383838384,30.5
U1597,C0116,2025,QS 2025,86.0,63.5,54.9,,,82.4,59.81818181818182,12.2
U2154,C0112,2025,QS 2025,87.0,62.9,58.4,,,69.5,71.27272727272728,88.0
U3189,C0014,2025,QS 2025,88.0,62.4,97.7,,,43.9,95.13131313131314,86.0
U0555,C0244,2025,QS 2025,89.0,61.7,40.9,,,59.6,60.02020202020202,84.9
U1629,C0245,2025,QS 2025,89.0,61.7,55.4,,,76.6,72.12121212121212,28.0
U1710,C0245,2025,QS 2025,89.0,61.7,54.3,,,63.3,69.43434343434345,45.2
U2322,C0030,2025,QS 2025,92.0,61.6,28.5,,,92.8,55.01010101010101,2.1
U1677,C0045,2025,QS 2025,93.0,61.5,8.8,,,93.7,37.65656565656565,3.7
U1232,C0195,2025,QS 2025,94.0,61.4,4.1,,,78.0,37.070707070707066,91.5
U2391,C0152,2025,QS 2025,94.0,61.4,2.4,,,97.0,38.1010101010101,2.3
U2634,C0039,2025,QS 2025,96.0,61.2,61.3,,,57.0,74.92929292929293,71.0
U0670,C0086,2025,QS 2025,97.0,60.6,71.7,,,80.3,80.06060606060606,43.7
U1648,C0261,2025,QS 2025,98.0,60.3,96.9,,,45.9,68.46464646464646,2.7
U1791,C0086,2025,QS 2025,99.0,59.9,71.9,,,46.6,77.35353535353536,85.5
U2755,C0058,2025,QS 2025,100.0,59.6,23.1,,,74.0,52.66666666666667,15.6
U1110,C0200,2025,QS 2025,101.0,59.5,78.0,,,38.0,76.12121212121212,47.6
U1126,C0086,2025,QS 2025,102.0,59.4,68.4,,,44.9,75.35353535353536,42.9
U3309,C0226,2025,QS 2025,103.0,59.3,42.3,,,61.4,63.6969696969697,81.1
U3161,C0244,2025,QS 2025,104.0,59.2,49.2,,,46.5,62.66666666666667,100.0
U3129,C0244,2025,QS 2025,105.0,59.1,43.9,,,58.3,64.3030303030303,96.8
