university_id,university_name,country_id,country_name,region,match_method,manual_review_required,sources
U0001,aalborg university,C0058,denmark,Europe,exact_normalized_name,False,"QS,THE,WUR"
U0002,aalto university,C0080,finland,Europe,exact_normalized_name,False,"QS,THE,WUR"
U0003,aarhus university,C0058,denmark,Europe,exact_normalized_name,False,"QS,THE,WUR"
U0004,abai kazakh national pedagogical university,C0118,kazakhstan,Asia,exact_normalized_name,False,QS
U0005,abbes laghrour university of khenchala,C0005,algeria,,exact_normalized_name,False,THE
U0006,abbottabad university of science and technology,C0181,pakistan,,exact_normalized_name,False,THE
U0007,abdelhafid boussouf university center of mila,C0005,algeria,,exact_normalized_name,False,THE
U0008,abdelmalek essaâdi university,C0162,morocco,,exact_normalized_name,False,"THE,WUR"
U0009,abdullah gül university,C0257,turkey,,exact_normalized_name,False,"THE,WUR"
U0010,abdul wali khan university mardan,C0181,pakistan,,exact_normalized_name,False,"THE,WUR"
U0011,abertay university,C0244,united kingdom,,exact_normalized_name,False,"THE,WUR"
U0012,aberystwyth university,C0244,united kingdom,Europe,exact_normalized_name,False,"QS,THE,WUR"
U0013,abia state university,C0173,nigeria,,exact_normalized_name,False,THE
U0014,abo akademi university,C0080,finland,Europe,exact_normalized_name,False,QS
U0015,abrar university,C0211,somalia,,exact_normalized_name,False,THE
U0016,abu dhabi university,C0243,united arab emirates,Asia,exact_normalized_name,False,"QS,THE,WUR"
U0017,academy of economic studies of moldova,C0158,moldova,,exact_normalized_name,False,WUR
U0018,acıbadem university,C0257,turkey,,exact_normalized_name,False,"THE,WUR"
U0019,acharya nagarjuna university,C0108,india,,exact_normalized_name,False,"THE,WUR"
U0020,ada kent university,C0258,northern cyprus,,exact_normalized_name,False,THE
U0021,adamawa state university mubi,C0173,nigeria,,exact_normalized_name,False,WUR
U0022,adam mickiewicz university poznań,C0188,poland,,exact_normalized_name,False,"THE,WUR"
U0023,adam mickiewicz university poznan,C0188,poland,Europe,exact_normalized_name,False,QS
U0024,addis ababa university,C0073,ethiopia,Africa,exact_normalized_name,False,"QS,WUR"
U0025,adelphi university,C0245,united states,,exact_normalized_name,False,THE
U0026,adolfo ibáñez university,C0045,chile,,exact_normalized_name,False,"THE,WUR"
U0027,adventist university of central africa,C0196,rwanda,,exact_normalized_name,False,THE
U0028,aecc university college,C0244,united kingdom,,exact_normalized_name,False,"THE,WUR"
U0029,afe babalola university,C0173,nigeria,,exact_normalized_name,False,"THE,WUR"
U0030,aga khan university,C0181,pakistan,,exact_normalized_name,False,WUR
U0031,agh university of krakow,C0188,poland,,exact_normalized_name,False,"THE,WUR"
U0032,agh university of science and technology,C0188,poland,Europe,exact_normalized_name,False,QS
U0033,ahl al bayt university,C0111,iraq,,exact_normalized_name,False,WUR
