University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
massachusetts institute of technology,Massachusetts Institute of Technology (MIT) ,United States,US,1,100.0,100.0,100.0,100.0,100.0,100.0,88.2,Massachusetts Institute of Technology,United States,3.0,97.9,98.6,96.2,99.7,100.0,93.8,"11,085",8.0,33%,41:59:00,2024
university of cambridge,University of Cambridge,United Kingdom,UK,2,99.2,100.0,100.0,100.0,92.3,100.0,95.8,University of Cambridge,United Kingdom,5.0,97.5,95.8,100.0,98.0,87.9,97.4,"20,565",11.5,38%,48:52:00,2024
university of oxford,University of Oxford,United Kingdom,UK,3,98.9,100.0,100.0,100.0,90.6,98.2,98.2,University of Oxford,United Kingdom,1.0,98.5,96.6,100.0,99.0,98.7,97.5,"21,750",10.9,42%,49:51:00,2024
harvard university,Harvard University,United States,US,4,98.3,100.0,100.0,98.3,100.0,84.6,66.8,Harvard University,United States,4.0,97.8,97.7,99.9,99.4,84.2,90.8,"20,050",9.0,25%,51:49:00,2024
stanford university,Stanford University,United States,US,5,98.1,100.0,100.0,100.0,99.9,99.9,51.2,Stanford University,United States,2.0,98,99.0,97.8,99.6,100.0,87.0,"14,517",6.4,23%,47:53:00,2024
imperial college london,Imperial College London,United Kingdom,UK,6,97.8,98.3,99.4,98.5,94.0,100.0,100.0,Imperial College London,United Kingdom,8.0,95.1,90.9,95.5,98.6,90.9,98.3,"20,275",11.8,61%,42:58:00,2024
national university of singapore,National University of Singapore (NUS),Singapore,SG,8,92.7,99.4,88.6,76.5,93.2,100.0,81.9,National University of Singapore,Singapore,19.0,90,78.8,94.0,95.4,100.0,91.1,"33,334",20.0,24%,49:51:00,2024
ucl,UCL,United Kingdom,UK,9,92.4,99.5,97.9,98.4,74.3,99.1,100.0,UCL,United Kingdom,22.0,88.1,78.4,86.4,98.6,75.2,97.9,"41,110",11.3,61%,59:41:00,2024
university of california berkeley,"University of California, Berkeley (UCB)",United States,US,10,90.4,100.0,100.0,20.5,99.9,92.2,63.9,"University of California, Berkeley",United States,9.0,94.6,87.2,98.8,99.0,99.4,86.8,"39,991",17.9,22%,52:48:00,2024
university of pennsylvania,University of Pennsylvania,United States,US,12,89.4,96.4,89.1,99.9,68.4,96.0,70.3,University of Pennsylvania,United States,16.0,91,87.7,89.7,97.6,97.7,78.8,"21,312",6.2,22%,54:46:00,2024
